ba	check	gene
100039826	NA	NA
100043757	NA	NA
100503068	100503068	Gm11549
100503659	100503659	Cbarp
101631	NA	NA
103098	103098	Slc6a15
103534	103534	Mgat4b
105722	NA	NA
105827	105827	Amigo2
106042	106042	Prickle1
108097	108097	Prkab2
109901	109901	Cela1
110058	110058	Syt17
12123	12123	Hrk
12140	12140	Fabp7
12337	12337	Capn5
12843	NA	NA
13087	NA	NA
13108	13108	Cyp2g1
13199	13199	Ddn
13384	13384	Mpp3
14057	NA	NA
140570	NA	NA
14313	14313	Fst
14412	NA	NA
14706	14706	Gng4
15982	15982	Ifrd1
16524	16524	Kcnj9
16525	NA	NA
16526	NA	NA
17181	17181	Matn2
17777	NA	NA
17969	17969	Ncf1
18003	18003	Nedd9
18164	18164	Nptx1
18212	NA	NA
18378	18378	Omp
18610	18610	Pdyn
19009	19009	Pou6f1
19094	19094	Mapk11
19271	NA	NA
19699	19699	Reln
19734	19734	Rgs16
20346	20346	Sema3a
210541	NA	NA
216881	NA	NA
217166	217166	Nr1d1
217294	NA	NA
22141	22141	Tub
22146	22146	Tuba1c
22353	22353	Vip
223828	223828	Pphln1
226412	226412	R3hdm1
231842	NA	NA
234353	234353	Psd3
236920	236920	Stard8
240185	240185	Jcad
240427	NA	NA
240753	NA	NA
243538	NA	NA
244954	244954	Prss35
246738	NA	NA
263764	NA	NA
26408	NA	NA
26413	NA	NA
26570	NA	NA
268480	NA	NA
26874	NA	NA
26913	26913	Gprin1
269994	NA	NA
270210	NA	NA
271305	271305	Phf21b
27223	27223	Trp53bp1
30785	NA	NA
30805	NA	NA
319480	NA	NA
320563	320563	Islr2
320924	NA	NA
330941	330941	AI593442
380711	NA	NA
380967	380967	Tmem106c
381310	381310	Stum
433323	NA	NA
433809	NA	NA
53625	53625	B3gnt2
54525	54525	Syt7
56233	56233	Hdac7
57748	NA	NA
57780	NA	NA
59126	NA	NA
634104	634104	Olfr287
63953	NA	NA
64009	64009	Syne1
66208	NA	NA
666211	666211	Gm7984
67155	NA	NA
67187	NA	NA
67498	67498	Kcnv1
67945	NA	NA
68498	68498	Tspan11
68524	NA	NA
69017	NA	NA
69847	69847	Wnk4
70717	70717	Medag
71733	NA	NA
71919	71919	Rpap3
72590	NA	NA
73284	73284	Ddit4l
74720	74720	Tmem114
74782	NA	NA
75578	NA	NA
79221	NA	NA
79362	NA	NA
81600	81600	Chia1
81703	81703	Jdp2
